time,tds,temp,ec,pH
2017/9/11 19:21:01,7.9,31,146.5,6.2732
2017/9/11 19:21:02,7.9,31,146.7,6.2712
2017/9/11 19:21:03,7.9,31,146.7,6.2712
2017/9/11 19:21:04,7.9,31,146.7,6.2762
2017/9/11 19:21:05,7.9,31,146.7,6.2574
2017/9/11 19:21:06,7.9,31,146.7,6.258
2017/9/11 19:21:07,7.9,31,146.7,6.2703
2017/9/11 19:21:08,7.9,31,146.8,6.2694
2017/9/11 19:21:09,7.9,31,146.7,6.27
2017/9/11 19:21:10,7.9,31,146.7,6.2709
2017/9/11 19:21:11,7.9,31,146.7,6.2504
2017/9/11 19:21:12,7.9,31,146.7,6.2645
2017/9/11 19:21:13,7.9,31,146.7,6.2697
2017/9/11 19:21:14,7.9,31,146.7,6.2729
2017/9/11 19:21:16,7.9,31,146.8,6.28
2017/9/11 19:21:17,7.9,31,146.7,6.2571
2017/9/11 19:21:18,7.9,31,146.8,6.2504
2017/9/11 19:21:19,7.9,31,146.8,6.2639
2017/9/11 19:21:20,7.9,31,146.7,6.2677
2017/9/11 19:21:21,7.9,31,146.8,6.2677
2017/9/11 19:21:22,7.9,31,146.8,6.2706
2017/9/11 19:21:23,7.9,31,146.9,6.268
2017/9/11 19:21:24,7.9,31,146.9,6.2516
2017/9/11 19:21:25,7.9,31,146.9,6.2633
2017/9/11 19:21:26,7.9,31,146.9,6.2721
2017/9/11 19:21:27,7.9,31,146.9,6.2721
2017/9/11 19:21:28,7.9,31,146.8,6.2738
2017/9/11 19:21:29,7.9,31,146.8,6.2548
2017/9/11 19:21:30,7.9,31,146.8,6.2539
2017/9/11 19:21:31,7.9,31,146.8,6.2671
2017/9/11 19:21:32,7.9,31,146.7,6.2645
2017/9/11 19:21:33,7.9,31,146.7,6.2694
2017/9/11 19:21:34,7.9,31,146.7,6.2677
2017/9/11 19:21:35,7.9,31,146.7,6.2516
2017/9/11 19:21:36,7.9,31,146.7,6.2601
2017/9/11 19:21:37,7.9,31,146.7,6.265
2017/9/11 19:21:38,7.9,31,146.7,6.265
2017/9/11 19:21:40,7.9,31,146.7,6.2653
2017/9/11 19:21:41,7.9,31,146.7,6.2712
2017/9/11 19:21:42,7.9,31,146.7,6.2568
